keyword,url,judul,bahan,langkah
ayam,https://cookpad.com/id/resep/25017577,Ayam Suwir Sambal Matah,"2 paha ayam,5 siung bawang putih, geprek,4 cm jahe, geprek,5 lbr daun salam,1 sdm garam,15 bh cabe rawit hijau, iris halus,10 bh cabe merah keriting, iris halus,7 siung bawang merah, iris halus,5 lbr daun jeruk, iris halus,1 btg sereh, iris halus,1 sdt lada,1 sdt garam,1 sdt penyedap rasa,3 sdm minyak panas","Rebus ayam beserta semua bumbu rebusnya, masak hingga air menyusut. Setelah matang ayam disuwir-suwir.,Campurkan semua bumbu sambal matah, siram minyak panas, aduk hingga rata.,Masukkan suwiran ayam ke bumbu sambal matah, aduk rata, koreksi rasa.,Angkat dan sajikan."
ayam,https://cookpad.com/id/resep/25026783,36. Homemade Chicken Luncheon,"500 gr paha/ dada ayam fillet,60 gr putih telur,50 gr bawang putih,85 gr bombay,1.5 sdt bubuk angkak,1/2 sdt lada,3/4 sdt garam,1 sdm kecap asin,1 sdm kecap ikan,1/2 sdt kaldu bubuk,2 sdt gula,80 ml minyak goreng Rose Brand,80 gr maizena Rose Brand","Siapkan bahan- bahan: haluskan bawang putih & bawang bombay.,Campur semua bahan kecuali maizena dan minyak goreng Rose Brand. Pastikan tercampur rata & tekstur halus.,Kemudian masukkan tepung maizena dan minyak goreng Rose Brand. Aduk rata, jangan lupa koreksi rasa (goreng 1 sdm adonan),Tuang ke dalam loyang yg dialasi kertas nasi. Kukus selama 30 menit dihitung dari air mendidih. Setelah matang, biarkan dingin & potong- potong.,Chicken luncheon bisa langsung disantap, digoreng terlebih dulu, atau disimpan dalam freezer."
ayam,https://cookpad.com/id/resep/25026554,512. Luncheon Ayam,"500 gr Paha Ayam Fillet,60 gr Putih Telur,50 gr Bawang Putih haluskan,85 gr Bawang Bombay haluskan,1,5 sdt Angkak Powder (7gr)--- saya tidak pakai,1/2 sdt Merica Bubuk (3gr),3/4 sdt Garam (7gr),1 sdm Kecap Asin (15ml),1 sdm Kecap Ikan (15ml),1/2 sdt Micin Asatu dari rose brand (Kaldu Bubuk 1sdt/5gr),2 sdt Gula Rosebrand (20gr),80 ml Minyak Goreng Rose brand,80 gr Maizena Rose brand,1-2 sdm Minyak Goreng/Mentega Rose brand untuk menggoreng","Siapkan semua bahan, ayam segar wajib masuk Freezer minimal 1jam untuk hasil yang lebih kenyal dan adonannya juga tdk terlalu lembek.

Masukan semua bahan kecuali maizena dan minyak goreng, giling sampai halus.

Note : Sebaiknya bawang bombai dan bawang putih dihaluskan terlebih dahulu untuk hasil akhir yang lebih padat (tidak rongga),Setelah halus masukan minyak goreng dan maizena haluskan kembali, pastikan adonan benar-benar halus.,Ambil sedikit lalu pan sebentar untuk koreksi rasa, kalau dirasa pas tuang ke dalam Loyang/mangkuk tahan panas yang seluruh bagian sudah diolesi minyak dan dialasi baking papper bagian dasarnya saja. Padatkan dengan cara ditekan dengan sencok atau spatula.,Panaskan kukusan, kalau sdh mendidih masukan luncheon dan kukus selama 30 menit. Setelah itu angkat keluarkan dr cetakan, biarkan suhu ruang/set baru di iris sesuai selera. bisa langsung dikonsumsi atau dipanggang dengan margarin."
ayam,https://cookpad.com/id/resep/25022283,Homemade Chicken Lucheon,"500 gr paha ayam fillet,60 gr putih telur,50 gr bawang putih,85 gr bawang bombay,1 sdt Angkak Powder,1/2 sdt merica bubuk,3/4 sdt garam,1 sdm kecap asin,1 sdm kecap,1 sdm kecap ikan,1/2 sdt kaldu bubuk,2 sdt gula pasir Rose Brand,80 gr tepung maizena Rose Brand,Secukupnya minyak goreng Rose Brand","Siapkan semua bahan. Untuk fillet paha ayam segar masukkan freezer dulu minimal 1 jam. Potong2, bawang putih & bawang Bombay lalu haluskan, sisihkan.,Tata di Cooper fillet paha ayam, masukkan bawang putih & bawang bombai halus, Angkak Powder, putih telur & semua bumbu. Cooper halus, tambahkan tepung maizena Rose Brand.,Cooper lagi semua bahan sampai benar2 halus.,Siapkan loyang, olesi minyak goreng Rose Brand sampai rata. Beri baking paper pada dasar loyang. Tuang adonan Lucheon ke loyang. Ratakan, tusuk2 untuk mengeluarkan udara yg terperangkap. Ratakan lagi.,Panaskan kukusan. Kukus Lucheon selama 30 menit. Setelah matang angkat & keluarkan dari loyang. Lepas baking paper.,Setelah Lucheon tdk panas lagi iris2 sesuai selera. Bisa langsung dinikmati atau di simpan di chiller maupun freezer untuk waktu simpan lebih lama. Jika akan di makan bisa di pan dgn minyak Rose Brand sedikit. Atau di goreng dgn minyak banyak juga nikmat."
ayam,https://cookpad.com/id/resep/25027019,Chicken Luncheon,"500 gr paham ayam fillet,60 gr putih telur,50 gr bawang putih, cincang halus,85 gr bawang bombay cincang halus,1.5 sdt angkak powder,1/2 sdt merica bubuk,3/4 sdt garam,2 sdt gula pasir rosebrand,1 sdm kecap ikan,1 sdm kecap asin,1 sdt penyedap,80 gr minyak goreng,85 gr tepung maizena rosebrand","Siapkan bahan2,Chopper semua bahan... Hingga membentuk pasta kental. (Minyak dan tepung maizena jgn dimasukkan dulu kedalam Chopper),Setelah adonan seperti pasta.. Masukkan maizena dan minyak. Chopper lagi hingga tercampur rata,Tuang pada loyang datar.sy pakai thinwall. Kukus selama 30menit, sebelumnya kukusan sudah dipanaskan terlebih dahulu,Penampakan nya... Enak... Gurih. Padat dan kenyal🥰"
ayam,https://cookpad.com/id/resep/25027094,Lumpia Ayam Roll,"300 gr daging paha ayam fillet,1 btr telur,1 bh wortel,2 btg daun bawang,3 siung bawang putih,1/4 sdt garam lada,1/2 sdt lada,1 sdm saus tiram,2 sdm terigu,3-5 sdm air,30 lembar kulit lumpia,Secukupnya minyak untuk menggoreng","Masukkan daging ayam, wortel, daun bawang,dan bumbu lainnya Blender hingga halus.,Ambil 1 sdm adonan, letakkan diatas kulit lumpia, lipat lalu gulung,Beri bahan pelapis dibagian ujung, agar rapih dan tidak bocor,Goreng dengan minyak banyak di api sedang hingga golden brown. Angkat, dan sisihkan. Siap disajikan dengan saus sambal atau cabai rawit"
ayam,https://cookpad.com/id/resep/25025679,Garang Asem Ayam,"1 kg ayam, saya pakai bagian sayap,5 lembar daun salam,2 ruas jari lengkuas,5 buah tomat,8 buah belimbing wuluh,8 siung bawang merah,5 siung bawang putih,1 sachet santan, sy pakai merk kara,Secukupnya garam, gula dan penyedap,10 bh cabe rawit","Potong daun pisang sesuai kebutuhan kemudian Lap daun pisang, saya menggunakn tisu.,Cuci bersih ayam, tiriskan,Cuci bersih lengkuas, daun salam, cabe rawit, bawang merah, bawang putih, tomat dan belimbing wuluh. Kemudian di iris,Tumis bahan2 tadi sampai harum, tambahkan santan dan sedikit air, masukkan tomat, belimbing wuluh dan ayam. Beri garam, gula dan penyedap, aduk rata (asal rata saja). Matikan api,Tata ayam dan bumbu di atas daun pisang, lalu bungkus,Kukus ayam garang asem selama kurang lebih 25-30 menit. Siap di hidangkan"
ayam,https://cookpad.com/id/resep/25025807,Chicken Pok Pok Gluten Free,"500 gram ayam,2 siung bawan putih,Secukupnya garam,Secukupnya lada bubuk,5 sendok makan tepung kanj,120 gram tepung beras,3 sendok makan munjung bawang bombai bubuk,1 sendok teh paprika bubuk,1 sendok makan kaldu jamur organik","Cuci ayam kemudian potong kecil-kecil,Haluskan baput, garam, dan lada bubuk secukupnya,Marinasi ayam dengan bumbu halus, sisihkan,Campur bawang bombai bubuk, kaldu jamur bubuk, secukupnya garam, paprika bubuk, dan lada bubuk,Buat adonan basah daei tepung kanji dan satu sendok makan campuran bumbu kering,Buat adonan kering dari tepung beras dan campuran bumbu kering,Masukkan ayam ke adonan basah kemudian masukkan ke adonan kering,Goreng ayam hingga matang,Chicken pok pok siap disajikan"
ayam,https://cookpad.com/id/resep/25007865,Sosis Ayam Homemade,"650 gr Fillet Paha Ayam,50 gr Lemak Ayam,50 gr Putih Telur (setengah beku),190 gr es batu,5 gr Baking Powder,50 gr Tapioka,25 gr Gula,10 gr kaldu bubuk,10 gr Garam,5 gr lada bubuk,1 sdt garlic powder","Masukan ayam, lemak ayam dan es batu haluskan. Lalu masukan semua bahan kecuali tapioka dan baking powder mix sampai tercampur rata. Terakhir masukan tapioka dan baking powder campur sampai rata.,Siapkan selongsong sosis uk 21mm. Dan tali untuk mengikat sosis.,Masukkan adonan ke dalam plastik segitiga. Potong ujung plastik segi tiga masukan kedalam lubang selongsong. Tekan adonan perlahan agar tidak ada rongga yang terisi angin, setelah terisi selongsong otomatis memanjang. Setelah selesai, urut/tekan² sosis seperti memijat untuk meratakan adonannya, ukur panjang sosis sesuai selera. Ikat dengan tali yang sudah di siapkan.,Tusuk² sosis yg sdh diikat dengan jarum untuk mengeluarkan gelembung udara didalam sosis. 

Panaskan air cukup sampai berbuih saja tidak perlu sampai mendidih Sekitar 75° c jika terlalu panas atau terlalu lama merebus sosisnya rawan pecah. Kalau airnya sudah panas masukan sosis otomatis akan mengembang, rebus selama 15-20 menit, bisa dengan menekan sosisnya jika lebih kenyal tandanya sdh matang.,Angkat kedalam wadah yang berisi air es untuk memperlambat proses pematangan sosis dan membantu selongsong menempel ke sosisnya. Jika sdh dingin angkat dan tiriskan. Bisa langsung disajikan dengan cara di goreng, panggang/ sesuai selera."
ayam,https://cookpad.com/id/resep/25025823,Jeroan krispi / kentucky jeroan ayam,"250 gr jeroan ayam,1 sdt garam,2 lembar daun salam,1 ruas lengkuas,250 gr tepung terigu,2 sdm tepung tapioka,1 sdt kaldu bubuk,1/2 sdt garam,1/2 sdt baking soda,secukupnya air,1/2 sdt baking soda","Cuci bersih jeroan, kemudian rebus setengah matang dengan garam, daun salam, lengkuas, angkat dan tiriskan (proses merebus gak kefoto),Campur semua bahan kering, aduk rata,Campur bahan pencelup, aduk rata,Gulingkan jeroan ke bahan kering dulu,Lalu celupkan ke pencelup,Gulingkan ke bahan kering lagi,Goreng di minyak panas, minyaknya harus banyak,Tiriskan, dan siap disajikan"
